実行日時,対象開始日時,対象終了日時,日付,シフト,ライン,設備ID,設備名,サイクルタイム_分,計画時間_分,想定停止時間_分,想定稼働時間_分,想定稼働率_%,実停止時間_分,稼働時間_分,実績稼働率_%,停止理由,生産数,不良数
2026-09-01 08:10:34,2026-09-01 00:00:00,2026-09-01 06:00:00,2026-09-01,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,106,209,66.3,設備異常,10,0
2026-09-01 08:10:34,2026-09-01 00:00:00,2026-09-01 06:00:00,2026-09-01,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,102,213,67.6,設備異常,9,0
2026-09-01 13:50:39,2026-09-01 06:00:00,2026-09-01 12:00:00,2026-09-01,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,10,305,96.8,なし,12,0
2026-09-01 13:50:39,2026-09-01 06:00:00,2026-09-01 12:00:00,2026-09-01,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,15,300,95.2,チョコ停,8,0
2026-09-01 13:50:39,2026-09-01 06:00:00,2026-09-01 12:00:00,2026-09-01,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,29,286,90.8,清掃,14,0
2026-09-01 13:50:39,2026-09-01 06:00:00,2026-09-01 12:00:00,2026-09-01,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,37,278,88.3,段取り替え,18,0
2026-09-01 13:50:39,2026-09-01 06:00:00,2026-09-01 12:00:00,2026-09-01,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,9,306,97.1,チョコ停,15,0
2026-09-01 13:50:39,2026-09-01 06:00:00,2026-09-01 12:00:00,2026-09-01,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,20,295,93.7,品質確認,13,0
2026-09-01 18:05:01,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,18,297,94.3,チョコ停,11,0
2026-09-01 18:05:01,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,36,279,88.6,段取り替え,7,0
2026-09-01 18:05:01,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,20,295,93.7,チョコ停,14,0
2026-09-01 18:05:01,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,13,302,95.9,チョコ停,20,0
2026-09-01 18:05:01,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,0,315,100.0,なし,15,0
2026-09-01 18:05:01,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,59,256,81.3,材料待ち,11,0
2026-09-01 22:55:36,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,59,256,81.3,材料待ち,10,0
2026-09-01 22:55:36,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,118,197,62.5,設備異常,5,0
2026-09-01 22:55:36,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,28,287,91.1,品質確認,14,0
2026-09-01 22:55:36,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,37,278,88.3,品質確認,18,0
2026-09-01 22:55:36,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,5,310,98.4,チョコ停,15,0
2026-09-01 22:55:36,2026-09-01 12:00:00,2026-09-01 18:00:00,2026-09-01,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,66,249,79.0,設備異常,11,0
2026-09-02 07:29:41,2026-09-02 00:00:00,2026-09-02 06:00:00,2026-09-02,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,76,239,75.9,設備異常,9,0
2026-09-02 07:29:41,2026-09-02 00:00:00,2026-09-02 06:00:00,2026-09-02,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,19,296,94.0,チョコ停,8,0
2026-09-02 07:29:41,2026-09-02 00:00:00,2026-09-02 06:00:00,2026-09-02,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,9,306,97.1,チョコ停,15,0
2026-09-02 07:29:41,2026-09-02 00:00:00,2026-09-02 06:00:00,2026-09-02,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,12,303,96.2,チョコ停,20,0
2026-09-02 07:29:41,2026-09-02 00:00:00,2026-09-02 06:00:00,2026-09-02,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,31,284,90.2,材料待ち,14,0
2026-09-02 07:29:41,2026-09-02 00:00:00,2026-09-02 06:00:00,2026-09-02,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,23,292,92.7,清掃,13,0
2026-09-02 13:08:11,2026-09-02 06:00:00,2026-09-02 12:00:00,2026-09-02,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,29,286,90.8,段取り替え,11,0
2026-09-02 13:08:11,2026-09-02 06:00:00,2026-09-02 12:00:00,2026-09-02,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,115,200,63.5,設備異常,5,0
2026-09-02 13:08:11,2026-09-02 06:00:00,2026-09-02 12:00:00,2026-09-02,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,53,262,83.2,材料待ち,13,0
2026-09-02 13:08:11,2026-09-02 06:00:00,2026-09-02 12:00:00,2026-09-02,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,16,299,94.9,清掃,19,0
2026-09-02 13:08:11,2026-09-02 06:00:00,2026-09-02 12:00:00,2026-09-02,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,8,307,97.5,なし,15,0
2026-09-02 13:08:11,2026-09-02 06:00:00,2026-09-02 12:00:00,2026-09-02,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,68,247,78.4,設備異常,11,0
2026-09-02 18:18:40,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,35,280,88.9,品質確認,11,0
2026-09-02 18:18:40,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,72,243,77.1,設備異常,6,0
2026-09-02 18:18:40,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,13,302,95.9,チョコ停,15,0
2026-09-02 18:18:40,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,113,202,64.1,設備異常,13,0
2026-09-02 18:18:40,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,24,291,92.4,清掃,14,0
2026-09-02 18:18:40,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,29,286,90.8,段取り替え,13,0
2026-09-02 22:55:56,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,119,196,62.2,設備異常,7,0
2026-09-02 22:55:56,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,9,306,97.1,チョコ停,8,0
2026-09-02 22:55:56,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,5,310,98.4,なし,15,0
2026-09-02 22:55:56,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,114,201,63.8,設備異常,13,0
2026-09-02 22:55:56,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,0,315,100.0,なし,15,0
2026-09-02 22:55:56,2026-09-02 12:00:00,2026-09-02 18:00:00,2026-09-02,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,35,280,88.9,品質確認,12,0
2026-09-03 07:35:35,2026-09-03 00:00:00,2026-09-03 06:00:00,2026-09-03,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,100,215,68.3,設備異常,8,0
2026-09-03 07:35:35,2026-09-03 00:00:00,2026-09-03 06:00:00,2026-09-03,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,12,303,96.2,チョコ停,8,0
2026-09-03 07:35:35,2026-09-03 00:00:00,2026-09-03 06:00:00,2026-09-03,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,66,249,79.0,材料待ち,12,0
2026-09-03 07:35:35,2026-09-03 00:00:00,2026-09-03 06:00:00,2026-09-03,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,24,291,92.4,品質確認,19,0
2026-09-03 07:35:35,2026-09-03 00:00:00,2026-09-03 06:00:00,2026-09-03,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,93,222,70.5,設備異常,11,0
2026-09-03 07:35:35,2026-09-03 00:00:00,2026-09-03 06:00:00,2026-09-03,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,10,305,96.8,チョコ停,13,0
2026-09-03 13:09:56,2026-09-03 06:00:00,2026-09-03 12:00:00,2026-09-03,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,20,295,93.7,チョコ停,11,0
2026-09-03 13:09:56,2026-09-03 06:00:00,2026-09-03 12:00:00,2026-09-03,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,10,305,96.8,なし,8,0
2026-09-03 13:09:56,2026-09-03 06:00:00,2026-09-03 12:00:00,2026-09-03,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,7,308,97.8,なし,15,0
2026-09-03 13:09:56,2026-09-03 06:00:00,2026-09-03 12:00:00,2026-09-03,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,26,289,91.7,段取り替え,19,0
2026-09-03 13:09:56,2026-09-03 06:00:00,2026-09-03 12:00:00,2026-09-03,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,119,196,62.2,設備異常,9,0
2026-09-03 13:09:56,2026-09-03 06:00:00,2026-09-03 12:00:00,2026-09-03,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,10,305,96.8,清掃,13,0
2026-09-03 18:16:31,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,8,307,97.5,チョコ停,12,0
2026-09-03 18:16:31,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,56,259,82.2,材料待ち,7,0
2026-09-03 18:16:31,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,49,266,84.4,材料待ち,13,0
2026-09-03 18:16:31,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,6,309,98.1,チョコ停,20,0
2026-09-03 18:16:31,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,2,313,99.4,なし,15,0
2026-09-03 18:16:31,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,15,300,95.2,チョコ停,13,0
2026-09-03 22:55:16,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,10,305,96.8,なし,12,0
2026-09-03 22:55:16,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,82,233,74.0,設備異常,6,0
2026-09-03 22:55:16,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,62,253,80.3,材料待ち,12,0
2026-09-03 22:55:16,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,27,288,91.4,段取り替え,19,0
2026-09-03 22:55:16,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,56,259,82.2,材料待ち,12,0
2026-09-03 22:55:16,2026-09-03 12:00:00,2026-09-03 18:00:00,2026-09-03,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,3,312,99.0,なし,14,0
2026-09-04 07:35:29,2026-09-04 00:00:00,2026-09-04 06:00:00,2026-09-04,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,17,298,94.6,チョコ停,11,0
2026-09-04 07:35:29,2026-09-04 00:00:00,2026-09-04 06:00:00,2026-09-04,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,49,266,84.4,材料待ち,7,0
2026-09-04 07:35:29,2026-09-04 00:00:00,2026-09-04 06:00:00,2026-09-04,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,15,300,95.2,品質確認,15,0
2026-09-04 07:35:29,2026-09-04 00:00:00,2026-09-04 06:00:00,2026-09-04,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,53,262,83.2,材料待ち,17,0
2026-09-04 07:35:29,2026-09-04 00:00:00,2026-09-04 06:00:00,2026-09-04,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,20,295,93.7,チョコ停,14,0
2026-09-04 07:35:29,2026-09-04 00:00:00,2026-09-04 06:00:00,2026-09-04,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,30,285,90.5,清掃,12,0
2026-09-04 13:03:19,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,30,285,90.5,品質確認,11,0
2026-09-04 13:03:19,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,11,304,96.5,チョコ停,8,0
2026-09-04 13:03:19,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,48,267,84.8,材料待ち,13,0
2026-09-04 13:03:19,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,6,309,98.1,なし,20,0
2026-09-04 13:03:19,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,17,298,94.6,チョコ停,14,0
2026-09-04 13:03:19,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,30,285,90.5,清掃,12,0
2026-09-04 17:57:27,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,1,314,99.7,なし,12,0
2026-09-04 17:57:27,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,108,207,65.7,設備異常,5,0
2026-09-04 17:57:27,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,27,288,91.4,段取り替え,14,0
2026-09-04 17:57:27,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,54,261,82.9,材料待ち,17,0
2026-09-04 17:57:27,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,51,264,83.8,材料待ち,13,0
2026-09-04 17:57:27,2026-09-04 06:00:00,2026-09-04 12:00:00,2026-09-04,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,48,267,84.8,材料待ち,12,0
2026-09-04 22:41:57,2026-09-04 12:00:00,2026-09-04 18:00:00,2026-09-04,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,48,267,84.8,段取り替え,10,0
2026-09-04 22:41:57,2026-09-04 12:00:00,2026-09-04 18:00:00,2026-09-04,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,101,214,67.9,設備異常,5,0
2026-09-04 22:41:57,2026-09-04 12:00:00,2026-09-04 18:00:00,2026-09-04,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,40,275,87.3,段取り替え,13,0
2026-09-04 22:41:57,2026-09-04 12:00:00,2026-09-04 18:00:00,2026-09-04,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,33,282,89.5,品質確認,18,0
2026-09-04 22:41:57,2026-09-04 12:00:00,2026-09-04 18:00:00,2026-09-04,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,26,289,91.7,品質確認,14,0
2026-09-04 22:41:57,2026-09-04 12:00:00,2026-09-04 18:00:00,2026-09-04,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,1,314,99.7,なし,14,0
2026-09-05 07:17:09,2026-09-05 00:00:00,2026-09-05 06:00:00,2026-09-05,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,110,205,65.1,設備異常,8,0
2026-09-05 07:17:09,2026-09-05 00:00:00,2026-09-05 06:00:00,2026-09-05,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,18,297,94.3,チョコ停,8,0
2026-09-05 07:17:09,2026-09-05 00:00:00,2026-09-05 06:00:00,2026-09-05,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,34,281,89.2,段取り替え,14,0
2026-09-05 07:17:09,2026-09-05 00:00:00,2026-09-05 06:00:00,2026-09-05,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,18,297,94.3,チョコ停,19,0
2026-09-05 07:17:09,2026-09-05 00:00:00,2026-09-05 06:00:00,2026-09-05,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,28,287,91.1,品質確認,14,0
2026-09-05 07:17:09,2026-09-05 00:00:00,2026-09-05 06:00:00,2026-09-05,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,32,283,89.8,材料待ち,12,0
2026-09-05 12:15:44,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,78,237,75.2,材料待ち,9,0
2026-09-05 12:15:44,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,50,265,84.1,材料待ち,7,0
2026-09-05 12:15:44,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,58,257,81.6,材料待ち,12,0
2026-09-05 12:15:44,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,36,279,88.6,段取り替え,18,0
2026-09-05 12:15:44,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,91,224,71.1,設備異常,11,0
2026-09-05 12:15:44,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,4,311,98.7,なし,14,0
2026-09-05 17:02:58,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,10,305,96.8,清掃,12,0
2026-09-05 17:02:58,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,12,303,96.2,チョコ停,8,0
2026-09-05 17:02:58,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,13,302,95.9,チョコ停,15,0
2026-09-05 17:02:58,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,96,219,69.5,設備異常,14,0
2026-09-05 17:02:58,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,21,294,93.3,段取り替え,14,0
2026-09-05 17:02:58,2026-09-05 06:00:00,2026-09-05 12:00:00,2026-09-05,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,54,261,82.9,材料待ち,11,0
2026-09-05 22:33:00,2026-09-05 12:00:00,2026-09-05 18:00:00,2026-09-05,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,1,314,99.7,なし,12,0
2026-09-05 22:33:00,2026-09-05 12:00:00,2026-09-05 18:00:00,2026-09-05,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,3,312,99.0,なし,8,0
2026-09-05 22:33:00,2026-09-05 12:00:00,2026-09-05 18:00:00,2026-09-05,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,16,299,94.9,チョコ停,14,0
2026-09-05 22:33:00,2026-09-05 12:00:00,2026-09-05 18:00:00,2026-09-05,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,26,289,91.7,清掃,19,0
2026-09-05 22:33:00,2026-09-05 12:00:00,2026-09-05 18:00:00,2026-09-05,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,74,241,76.5,材料待ち,12,0
2026-09-05 22:33:00,2026-09-05 12:00:00,2026-09-05 18:00:00,2026-09-05,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,6,309,98.1,なし,14,0
2026-09-07 07:45:33,2026-09-07 00:00:00,2026-09-07 06:00:00,2026-09-07,昼勤,Line-A,MC-001,切断機,25,315,25,290,92.1,73,242,76.8,材料待ち,9,0
2026-09-07 07:45:33,2026-09-07 00:00:00,2026-09-07 06:00:00,2026-09-07,昼勤,Line-A,MC-002,加工機,36,315,31,284,90.2,40,275,87.3,材料待ち,7,0
2026-09-07 07:45:33,2026-09-07 00:00:00,2026-09-07 06:00:00,2026-09-07,昼勤,Line-B,MC-003,検査機,20,315,15,300,95.2,87,228,72.4,設備異常,11,0
2026-09-07 07:45:33,2026-09-07 00:00:00,2026-09-07 06:00:00,2026-09-07,昼勤,Line-B,MC-004,包装機,15,315,22,293,93.0,71,244,77.5,材料待ち,16,0
2026-09-07 07:45:33,2026-09-07 00:00:00,2026-09-07 06:00:00,2026-09-07,昼勤,Line-C,MC-005,組立機,20,315,37,278,88.3,13,302,95.9,チョコ停,15,0
2026-09-07 07:45:33,2026-09-07 00:00:00,2026-09-07 06:00:00,2026-09-07,昼勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,55,260,82.5,材料待ち,11,0
2026-09-07 14:39:42,2026-09-07 06:00:00,2026-09-07 12:00:00,2026-09-07,昼勤,Line-A,MC-001,切断機,25,195,15,180,92.3,5,190,97.4,チョコ停,7,0
2026-09-07 14:39:42,2026-09-07 06:00:00,2026-09-07 12:00:00,2026-09-07,昼勤,Line-A,MC-002,加工機,36,195,19,176,90.3,23,172,88.2,品質確認,4,0
2026-09-07 14:39:42,2026-09-07 06:00:00,2026-09-07 12:00:00,2026-09-07,昼勤,Line-B,MC-003,検査機,20,195,9,186,95.4,36,159,81.5,段取り替え,7,0
2026-09-07 14:39:42,2026-09-07 06:00:00,2026-09-07 12:00:00,2026-09-07,昼勤,Line-B,MC-004,包装機,15,195,13,182,93.3,35,160,82.1,品質確認,10,0
2026-09-07 14:39:42,2026-09-07 06:00:00,2026-09-07 12:00:00,2026-09-07,昼勤,Line-C,MC-005,組立機,20,195,23,172,88.2,24,171,87.7,品質確認,8,0
2026-09-07 14:39:42,2026-09-07 06:00:00,2026-09-07 12:00:00,2026-09-07,昼勤,Line-C,MC-006,圧着機,22,195,17,178,91.3,37,158,81.0,品質確認,7,0
2026-09-07 18:56:37,2026-09-07 12:00:00,2026-09-07 18:00:00,2026-09-07,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,35,280,88.9,品質確認,11,0
2026-09-07 18:56:37,2026-09-07 12:00:00,2026-09-07 18:00:00,2026-09-07,夜勤,Line-A,MC-002,加工機,36,315,31,284,90.2,36,279,88.6,品質確認,7,0
2026-09-07 18:56:37,2026-09-07 12:00:00,2026-09-07 18:00:00,2026-09-07,夜勤,Line-B,MC-003,検査機,20,315,15,300,95.2,57,258,81.9,材料待ち,12,0
2026-09-07 18:56:37,2026-09-07 12:00:00,2026-09-07 18:00:00,2026-09-07,夜勤,Line-B,MC-004,包装機,15,315,22,293,93.0,37,278,88.3,品質確認,18,0
2026-09-07 18:56:37,2026-09-07 12:00:00,2026-09-07 18:00:00,2026-09-07,夜勤,Line-C,MC-005,組立機,20,315,37,278,88.3,20,295,93.7,チョコ停,14,0
2026-09-07 18:56:37,2026-09-07 12:00:00,2026-09-07 18:00:00,2026-09-07,夜勤,Line-C,MC-006,圧着機,22,315,28,287,91.1,37,278,88.3,段取り替え,12,0
2026-09-07 23:13:31,2026-09-07 12:00:00,2026-09-07 18:00:00,2026-09-07,夜勤,Line-A,MC-001,切断機,25,315,25,290,92.1,110,205,65.1,設備異常,8,0
